promedio,mediana,p5,p95,token_symbol
128134.03924313224,120971.39321165811,71212.9376644414,209017.48739603546,btc
128426.66565466028,121161.0762330021,70809.72399951806,209992.1234222303,btc
128945.55821457195,121388.18720299791,70766.11442648934,211888.7915142584,btc
129397.51411741834,122057.91880732632,70574.7263195776,214017.35861990618,btc
129910.67983107369,122231.32493157644,70379.60101919007,215148.68020193273,btc
130384.60942635464,122845.1158437077,69719.27457207274,216698.5104988168,btc
130847.82574279558,123031.31221516675,69548.58424282385,218261.6056972821,btc
131448.44664727096,123778.6340769614,69497.7500834939,219639.54481207032,btc
131975.60944240977,124081.56109189992,68763.16656811514,221324.87814733112,btc
132430.5855148256,124589.07194477344,68927.00820987903,223678.1830977125,btc
132916.44057166597,125020.28780906217,68725.2433248301,224942.8552713084,btc
133282.17167759722,125122.7800190828,68606.2579368233,226803.87776878013,btc
133833.22614444353,125049.01833162103,68314.6693197826,228040.71550474936,btc
134362.94312382225,125458.79064690351,68106.8360290566,229922.6963301874,btc
134798.9111894216,125519.73463805846,67843.6824126089,230886.74091009604,btc
135228.34631323075,126171.16432455563,67882.32620368786,232139.33481236303,btc
135774.76591432386,126539.79180934886,67474.36153326319,233615.8938443342,btc
136334.72690458014,126824.30595835735,67525.66375959641,236257.56518051683,btc
136857.75369437653,127354.79490318387,67251.01904597988,238721.2390199834,btc
137425.6124996572,127374.5469349155,66941.84308447894,240007.21917994897,btc
137950.4198059684,127551.4970120512,66786.74549113135,243096.02465585512,btc
138403.70477647544,127808.41656050866,66741.68475125091,245886.69320811052,btc
138797.55841664053,128032.37686728698,66935.20172390781,247233.54484527023,btc
139323.06818984044,128361.5150021483,67120.22120306578,249329.30478130575,btc
139788.85452200304,128847.13642907102,67034.42341670864,251435.16218722585,btc
140171.10055491346,129019.9489800132,66380.8305656908,252083.50830627908,btc
140600.60888921493,128987.47089270389,66293.18262322166,253852.47333686013,btc
141008.07671332615,129490.75363849472,66040.36220032169,254974.2860700599,btc
141538.78821121604,129886.1548300282,66393.12335878564,255793.83688503123,btc
141944.8142145614,129860.42026707798,66215.54655077643,258728.33644119502,btc
142534.36248803211,130184.4357882675,65656.07110258439,261427.52837841096,btc
143040.45902164435,130514.02495309041,65279.17900017511,263756.2678968363,btc
143626.17851557294,131240.10258151905,65564.23917351392,264066.43637641513,btc
144105.00881676291,131547.6818362447,65113.342761776104,266292.04871119664,btc
144639.32791155332,131907.07010779943,65125.79690273266,267946.8410212396,btc
145158.2518913981,132068.16911258356,65000.85380538454,269931.28008393286,btc
145648.1184926675,132560.03699933857,64572.89227164737,272776.1068608944,btc
146162.23673015524,132792.2580968475,64668.94966152854,274376.07508028124,btc
146645.0923702603,133584.87896580086,64427.14945982683,274825.55192298465,btc
147091.70017293945,133272.32415651728,63899.364569154706,277432.91347909777,btc
147602.26854368774,133418.7615716466,63895.42519199629,278735.2756323195,btc
148045.67674628488,133974.46110455302,63828.40138396558,281093.655846984,btc
148665.5848128518,134211.68631817476,63348.451891212935,281885.07384431484,btc
149195.70880484593,134492.10537921806,63460.851172502946,283505.96002074744,btc
149750.89268267658,134829.90634757647,63579.89007411999,284935.6092097055,btc
150383.9060956936,135689.74825880094,63701.80637779023,286719.53800536966,btc
150871.79015005447,135723.136721863,63895.1630831966,288673.0529331475,btc
151388.0019987451,135984.84701773635,63457.86093208496,289640.1003443878,btc
151818.81205922915,135983.41837445155,63242.44957570644,293156.09091361956,btc
152351.52391729754,136625.53611928626,63354.57995367383,293197.5975233796,btc
152985.28349859163,137472.95244428632,62950.06486509008,295186.84410184267,btc
153632.70863044672,137419.69914940157,63190.18986184424,299955.0812532745,btc
154305.1319195805,137863.46182512236,63050.95307006132,301579.51716974354,btc
154956.28844836075,138317.60927020997,63009.48553619663,303262.48098983016,btc
155552.2331064998,138944.32264250133,62870.87203294483,306690.32453943614,btc
156135.4256515038,138913.93842782208,63128.95067845782,307859.4094864572,btc
156555.2035913508,139119.79452261596,62694.91375122501,310496.105110693,btc
157122.10461782443,139594.05135153487,62731.62228592885,311375.82722814754,btc
157628.24096723518,139622.67155949428,62748.86547516992,311483.89515539375,btc
158153.10788264073,140341.85961719957,62444.080512114655,313669.7504092172,btc
158792.04226519313,140487.29079604778,62359.51642286969,317947.4431263619,btc
159341.24206038995,141003.81602141407,62344.93141193478,319612.4280462775,btc
159876.1512007432,141597.5507541889,61976.06522820725,319856.01724266406,btc
160608.86694521876,141529.26245590145,62177.60831225509,324288.83631763153,btc
161215.7601224676,141684.26007772132,61895.49516968437,323406.39755719487,btc
161804.30934028162,142203.93845079758,62069.471041522935,325245.1811918554,btc
162450.53159350666,142551.51989979576,61563.412179927036,327892.2792224267,btc
163117.6550643969,142941.68403183948,61443.985588623094,330705.6533027257,btc
163676.791188515,143494.73404596897,61155.567084471084,331114.3852593641,btc
164369.71644584235,143705.9460945398,61055.10187055002,333394.3121975765,btc
165118.2368178658,144573.8819693646,61158.63245418543,336464.6680266637,btc
165783.0990439224,144952.73372287245,61500.12413106545,339274.2570124831,btc
166417.60766053566,145465.26385023678,61485.014513239636,342940.36547848943,btc
167163.39163669327,145547.0778787852,61107.225252354794,346795.83176046424,btc
167829.77874684133,146971.46119114847,61341.57986131651,349444.4341792484,btc
168267.77219449746,147013.6764745894,61418.9229560505,352609.94652926974,btc
168840.7993072458,146682.64604157527,61374.972235145084,354605.7055841623,btc
169467.83530127205,147392.90748727237,61046.056186291076,359080.95187724,btc
170119.4555688252,148112.21332677227,61316.353598741945,358940.15956315224,btc
170869.38730675203,148291.45891396044,61331.30259825939,362201.16154094273,btc
171421.03730760206,148682.04822160566,61616.750218362824,363101.02196275786,btc
172088.47990781773,148766.66261145056,60999.91385295723,364875.068989398,btc
172716.77009340547,149019.00260473305,60608.58051239912,365406.19933033886,btc
173385.74686753182,149264.96305445555,61204.751443325695,369274.8149694621,btc
174149.94581991178,149364.49920240493,61737.05183638826,369095.0556150297,btc
174772.7796278028,149741.95910025595,61478.79921786486,371423.1612853679,btc
175405.9450751203,149745.0475034929,61944.97319846258,372322.97610297566,btc
175977.55768122323,150464.4133224625,61871.81817007507,375605.2303269973,btc
176807.59698011205,151288.971717164,62061.50125643139,380222.63843049295,btc
177552.24513477125,151910.1849982521,62273.27259662441,382225.691891177,btc
178249.2317369403,151944.34008814205,61608.81744907392,382640.0226759971,btc
178899.4233720357,152212.86916604303,61712.575134636885,381081.47369736456,btc
179529.35047191186,152678.70637272723,61529.72983108007,387356.77932419354,btc
180146.04961947582,152803.0108630741,61301.57697821532,388936.3890657565,btc
180865.18260893095,153030.66907079265,61086.29803236838,391766.33534623147,btc
181473.5863008928,153610.74490033224,61055.58232331404,395630.70604816085,btc
182022.49868134334,153706.95626611292,60421.58738786526,395960.165714754,btc
182691.49385983325,153506.57694789732,60492.18286611593,400395.6139104551,btc
183300.04170122065,154085.4072380929,60430.568371700494,399710.3891234949,btc
184017.4690974619,155144.34224896983,60486.01520138179,400479.82828818157,btc
184521.76473654338,155106.52941014667,60870.70762957316,405684.657326015,btc
185214.9291697078,155540.73414619276,61363.4280830747,405177.73064574646,btc
185840.67509863083,155765.026784273,61360.76925857747,409630.66573419335,btc
186469.37175561467,156567.08544887786,61436.39472026244,410975.65564266185,btc
187022.7108011981,156709.1436428578,61011.204692517604,413780.7324722243,btc
187503.79394304144,157067.45132504374,60539.539576841504,414093.7510806434,btc
188182.30939277203,157339.2686083197,61017.811198968506,413231.0490780347,btc
188764.32474443692,157775.62395729253,60606.266749509334,420940.7021122345,btc
189158.18868220728,157748.9103490911,60436.06798055992,422804.60050296684,btc
189901.23905759992,158342.83856331924,60702.29062778517,424775.4136897419,btc
190614.1414023013,158798.69053712307,60401.2019636802,426519.3293715396,btc
191321.5512333995,159455.85428694944,60286.205154973504,427619.2622391319,btc
191945.53357734997,160157.67482698383,60269.151640798154,429620.246629528,btc
192626.68912085096,160313.07852944772,60409.63462801245,433763.9117667728,btc
193057.87985592414,160238.24480139883,60244.54901662425,434471.9740551247,btc
193830.2215049496,160444.93014903564,59989.06668350425,437175.12012313236,btc
194670.55855374096,160833.09005395212,60050.17529598374,439926.71095669916,btc
195504.14084433572,161179.03866165498,60372.15875327082,443969.9039897141,btc
196168.27489239146,161619.1374334672,60397.29052024668,444339.72655364865,btc
196928.3932105437,162450.9437074379,60042.89639043855,446624.2716840424,btc
197439.76026115398,161972.65081926138,59947.1522127194,451885.4888811114,btc
198216.0681988449,162510.42191097714,60280.62034991182,455814.5789605559,btc
199058.11812504323,163199.09920912312,60417.20741673043,451865.52871271764,btc
199778.73748741357,164304.5419308482,60574.96313430639,456894.8056257027,btc
200722.5239589251,164693.5293055941,60181.07110881358,456780.9426503098,btc
201262.62285955797,164959.60540013044,60646.759372515495,460120.25299356354,btc
201948.9692121838,165032.98007740141,60419.3820181247,466641.23002782295,btc
202503.59889061906,165824.76629806793,60788.96307326839,468055.8427575418,btc
203191.65950444102,165620.10448943998,59780.31640483675,470520.7624824116,btc
203896.12870985354,166733.8311875058,59861.741897572334,475185.8268399994,btc
204574.0448449942,166547.78154768143,59645.83370964247,474474.5374804453,btc
205337.86855824417,166709.27039639995,59118.34273896178,478654.5826334236,btc
206132.37756444333,167429.42837059568,58956.097632273246,479014.2027512852,btc
206641.6135408107,167659.9561960948,59073.16561098369,479316.0997384507,btc
207443.40432662587,168471.89216607483,59372.191878213685,480873.30557315785,btc
208207.47563443767,168415.2385534808,59120.707208481035,486784.8447146303,btc
208679.3850045044,168241.15784786892,59551.59385033874,486635.23699376703,btc
209362.32321853493,169202.37969612068,59512.34586499737,489896.2583366629,btc
