d,target_reg,ret_hat,direction_hat
2020-10-05,-1.636,-0.8955920000000052,-1
2020-10-12,-0.982,-0.503564,-1
2020-10-13,-0.156,-0.12962399999999977,-1
2020-10-15,-1.422,-0.7550500000000039,-1
2020-10-24,-0.551,-0.08329999999999979,-1
2020-10-27,-2.817,-1.4795100000000045,-1
2020-10-31,-0.509,-0.14268800000000012,-1
2020-11-01,-1.029,-0.5299799999999978,-1
2020-11-06,-4.819,-2.804145999999985,-1
2020-11-08,-1.162,-0.3969940000000025,-1
2020-11-13,-1.397,-1.218414000000003,-1
2020-11-21,-1.197,-0.4553140000000016,-1
2020-11-24,-2.098,-1.0651800000000056,-1
2020-11-25,-8.719,-5.393618000000026,-1
2020-11-26,-0.071,-0.057133999999999935,-1
2020-11-30,-4.291,-2.193670000000013,-1
2020-12-03,-3.787,-2.034300000000009,-1
2020-12-06,-0.9,-0.4480240000000027,-1
2020-12-07,-4.385,-2.9734879999999957,-1
2020-12-09,-1.507,-0.856380000000002,-1
2020-12-10,-1.274,-0.3263700000000004,-1
2020-12-19,-1.376,-0.3836160000000015,-1
2020-12-20,-2.512,-1.4856479999999892,-1
2020-12-22,-1.893,-0.6535559999999977,-1
2021-01-03,-4.434,-1.4809580000000018,-1
2021-01-09,-5.056,-2.3244560000000107,-1
2021-01-10,-7.983,-4.49675799999999,-1
2021-01-11,-4.415,-1.7592759999999954,-1
2021-01-14,-5.981,-3.582657999999995,-1
2021-01-15,-1.452,-1.0722719999999988,-1
2021-01-16,-0.297,-0.26971799999999835,-1
2021-01-18,-0.94,-0.8682419999999983,-1
2021-01-19,-2.027,-1.670468000000006,-1
2021-01-20,-12.649,-7.749261999999943,-1
2021-01-22,-2.88,-1.0820079999999979,-1
2021-01-26,-6.99,-4.40809399999999,-1
2021-01-30,-3.47,-1.6245060000000129,-1
2021-02-09,-3.158,-1.4696760000000055,-1
2021-02-11,-0.768,-0.3569940000000003,-1
2021-02-12,-0.666,-0.5196639999999983,-1
2021-02-14,-1.474,-0.44863799999999615,-1
2021-02-21,-6.171,-2.823400000000019,-1
2021-02-22,-9.993,-5.721737999999982,-1
2021-02-24,-4.033,-2.586889999999987,-1
2021-02-25,-2.809,-1.6639579999999992,-1
2021-02-26,-0.859,-0.9563079999999953,-1
2021-02-27,-1.036,-0.3649300000000006,-1
2021-03-01,-2.679,-1.0824359999999908,-1
2021-03-03,-4.375,-2.7840260000000003,-1
2021-03-11,-0.886,-0.01592200000000097,-1
2021-03-13,-2.257,-1.2802579999999966,-1
2021-03-14,-6.317,-4.147918000000008,-1
2021-03-17,-1.622,-0.8677360000000074,-1
2021-03-19,0.137,-0.12145399999999963,-1
2021-03-20,-1.373,-1.4158640000000045,-1
2021-03-21,-5.213,-3.494733999999987,-1
2021-03-22,0.203,-0.3123099999999986,-1
2021-03-23,-3.607,-2.5079539999999927,-1
2021-03-24,-1.993,-1.164718000000004,-1
2021-03-27,-0.548,-0.25777400000000106,-1
2021-04-02,-2.963,-1.7351219999999947,-1
2021-04-05,-1.143,-0.6328999999999964,-1
2021-04-06,-3.129,-1.404388000000006,-1
2021-04-13,-0.908,-0.31585399999999936,-1
2021-04-15,-2.625,-1.854332,-1
2021-04-16,-2.096,-1.4773900000000018,-1
2021-04-17,-6.455,-4.2216619999999825,-1
2021-04-18,-1.049,-1.1644439999999947,-1
2021-04-20,-4.336,-3.2786100000000062,-1
2021-04-21,-3.968,-3.0773320000000104,-1
2021-04-22,-1.787,-1.8325500000000066,-1
2021-04-23,-1.325,-1.5447620000000055,-1
2021-04-24,-2.651,-1.1412719999999998,-1
2021-04-27,-0.436,-0.14226600000000075,-1
2021-04-28,-2.227,-0.6455139999999985,-1
2021-05-01,-2.231,-1.474873999999998,-1
2021-05-03,-6.147,-3.8217239999999864,-1
2021-05-05,-1.421,-0.8363519999999969,-1
2021-05-08,-0.762,-0.5307320000000003,-1
2021-05-09,-4.093,-2.688984000000004,-1
2021-05-11,-9.962,-6.316489999999997,-1
2021-05-12,-3.146,-2.4778839999999853,-1
2021-05-14,-5.899,-3.7281679999999673,-1
2021-05-15,-2.18,-1.943057999999987,-1
2021-05-16,-5.498,-4.763194000000022,-1
2021-05-17,-1.615,-1.7354580000000053,-1
2021-05-18,-12.029,-7.910971999999993,-1
2021-05-20,-8.885,-6.555634000000049,-1
2021-05-22,-7.622,-3.966598000000017,-1
2021-05-24,-0.934,-1.2663039999999985,-1
2021-05-26,-1.745,-1.5532480000000026,-1
2021-05-27,-7.567,-4.655204000000003,-1
2021-05-28,-2.57,-1.836442000000012,-1
2021-05-31,-1.746,-1.1114019999999925,-1
2021-06-03,-5.811,-3.3262439999999893,-1
2021-06-04,-3.998,-2.831256000000017,-1
2021-06-06,-5.587,-3.4617419999999957,-1
2021-06-07,-0.741,-0.43724200000000296,-1
2021-06-09,-1.464,-0.8863799999999991,-1
2021-06-11,-4.077,-2.970183999999999,-1
2021-06-14,-0.497,-0.3116060000000046,-1
2021-06-15,-4.941,-3.125260000000011,-1
2021-06-16,-0.645,-1.0971679999999933,-1
2021-06-17,-1.942,-1.2822580000000026,-1
2021-06-18,-4.625,-3.2688360000000003,-1
2021-06-19,-2.07,-1.6147120000000093,-1
2021-06-20,-6.419,-4.322328000000021,-1
2021-06-24,-7.549,-4.608255999999987,-1
2021-06-25,-2.872,-1.8363939999999899,-1
2021-06-29,-4.31,-2.513327999999982,-1
2021-06-30,-3.39,-1.9191119999999922,-1
2021-07-04,-4.084,-2.289863999999991,-1
2021-07-07,-5.392,-3.1341980000000214,-1
2021-07-09,-1.707,-1.2035479999999967,-1
2021-07-11,-2.989,-1.7832760000000039,-1
2021-07-12,-0.588,-0.3898199999999979,-1
2021-07-14,-3.237,-2.3094500000000004,-1
2021-07-15,-0.93,-0.4086840000000035,-1
2021-07-16,0.293,-0.3148399999999978,-1
2021-07-18,-2.657,-1.3521280000000022,-1
2021-07-19,-3.011,-1.3754639999999982,-1
2021-07-31,-1.156,-0.5063380000000027,-1
2021-08-01,-4.856,-2.6662179999999944,-1
2021-08-02,-2.583,-1.2001680000000012,-1
2021-08-09,-1.679,-0.5005380000000003,-1
2021-08-11,-2.706,-1.541456000000006,-1
2021-08-13,-2.205,-1.2621180000000032,-1
2021-08-15,-1.464,-0.8934339999999987,-1
2021-08-16,-2.274,-1.1747980000000007,-1
2021-08-17,-0.943,-0.33017200000000074,-1
2021-08-21,-1.316,-0.6325499999999968,-1
2021-08-23,-2.312,-1.4945800000000053,-1
2021-08-25,-3.488,-2.147908000000018,-1
2021-08-27,-0.4,-0.12074600000000096,-1
2021-08-29,-0.497,-0.28083600000000014,-1
2021-08-30,-3.408,-1.680712000000006,-1
2021-09-06,-11.084,-7.190035999999957,-1
2021-09-07,-1.392,-1.4531100000000092,-1
2021-09-09,-2.458,-1.3468340000000034,-1
