d,outFlows
2014-11-15,166271.116
2014-11-16,124470.459
2014-11-17,192575.105
2014-11-18,183548.054
2014-11-19,110302.324
2014-11-20,195696.377
2014-11-21,134138.619
2014-11-22,88673.201
2014-11-23,82832.078
2014-11-24,137376.115
2014-11-25,214538.871
2014-11-26,116474.064
2014-11-27,101620.597
2014-11-28,152145.51
2014-11-29,100394.978
2014-11-30,79813.909
2014-12-01,106788.327
2014-12-02,123133.199
2014-12-03,174708.035
2014-12-04,194797.352
2014-12-05,181968.498
2014-12-06,101640.966
2014-12-07,74261.661
2014-12-08,125793.749
2014-12-09,220774.731
2014-12-10,122199.381
2014-12-11,132330.672
2014-12-12,90476.716
2014-12-13,109191.768
2014-12-14,62237.932
2014-12-15,108791.395
2014-12-16,149456.545
2014-12-17,212139.843
2014-12-18,201434.727
2014-12-19,121406.582
2014-12-20,131775.178
2014-12-21,68615.24
2014-12-22,185837.64
2014-12-23,164801.219
2014-12-24,107204.435
2014-12-25,96044.748
2014-12-26,97173.19
2014-12-27,112008.284
2014-12-28,73571.075
2014-12-29,146132.707
2014-12-30,115828.755
2014-12-31,116505.479
2015-01-01,69136.895
2015-01-02,97602.78
2015-01-03,157038.075
2015-01-04,237875.528
2015-01-05,214931.155
2015-01-06,201725.24
2015-01-07,222612.619
2015-01-08,185647.158
2015-01-09,238604.289
2015-01-10,230843.497
2015-01-11,198907.406
2015-01-12,164974.517
2015-01-13,374454.394
2015-01-14,538811.493
2015-01-15,330303.199
2015-01-16,282959.589
2015-01-17,197888.486
2015-01-18,161525.207
2015-01-19,149764.426
2015-01-20,203422.219
2015-01-21,335020.279
2015-01-22,273101.66
2015-01-23,186506.336
2015-01-24,134615.38
2015-01-25,120655.706
2015-01-26,305909.037
2015-01-27,250515.205
2015-01-28,150643.504
2015-01-29,210911.656
2015-01-30,172514.981
2015-01-31,134454.172
2015-02-01,148868.235
2015-02-02,157832.032
2015-02-03,215209.765
2015-02-04,181271.401
2015-02-05,205424.374
2015-02-06,179947.881
2015-02-07,154782.051
2015-02-08,179882.777
2015-02-09,226575.386
2015-02-10,182352.857
2015-02-11,205075.45
2015-02-12,139147.917
2015-02-13,255223.78
2015-02-14,162549.189
2015-02-15,186742.296
2015-02-16,172616.306
2015-02-17,186034.191
2015-02-18,213498.991
2015-02-19,122086.847
2015-02-20,117278.762
2015-02-21,135889.426
2015-02-22,105831.371
2015-02-23,203744.301
2015-02-24,135568.741
2015-02-25,140161.181
2015-02-26,139347.892
2015-02-27,207000.235
2015-02-28,112028.925
2015-03-01,144996.655
2015-03-02,232120.824
2015-03-03,227874.493
2015-03-04,206532.381
2015-03-05,234464.274
2015-03-06,187161.463
2015-03-07,129312.557
2015-03-08,107162.949
2015-03-09,204033.463
2015-03-10,230557.945
2015-03-11,201050.442
2015-03-12,188113.447
2015-03-13,201126.467
