inUSD,outUSD,differentUSD,inValue,outValue,differentValue,time,token_name
2354831843.5011864,2197921112.3801146,156910731.12107182,19980.92422405,18649.52494086,1331.3992831899996,2025-07-31T00:00:00Z,bitcoin
3990648805.1786666,3982430542.144276,8218263.0343904495,33769.54807933,33700.0037415,69.54433783000422,2025-08-15T00:00:00Z,bitcoin
3177849062.0898523,3306520450.668918,-128671388.5790658,27041.84163935,28136.76819045,-1094.9265510999976,2025-08-18T00:00:00Z,bitcoin
1563156820.7697968,1966050552.9850607,-402893732.21526384,13298.9350074,16726.65095274,-3427.715945340002,2025-07-26T00:00:00Z,bitcoin
1166398632.6202004,1083181558.8945117,83217073.7256887,9891.52411927,9185.81025021,705.7138690600004,2025-07-27T00:00:00Z,bitcoin
3220755620.0832005,3348042973.776336,-127287353.69313574,26862.01518001,27923.62780464,-1061.612624630001,2025-07-23T00:00:00Z,bitcoin
4514947106.112247,4993806813.681544,-478859707.56929684,1206405.139402815,1334357.6488535781,-127952.50945076323,2025-07-23T00:00:00Z,ethereum
3112628982.227222,2812328554.987586,300300427.23963594,821913.8860662576,742617.2231651493,79296.66290110827,2025-07-30T00:00:00Z,ethereum
6447803808.299211,6413917064.099642,33886744.19956875,1418031.5874166118,1410579.0539496597,7452.533466952154,2025-08-15T00:00:00Z,ethereum
5401325173.665695,5497448272.39045,-96123098.72475433,1206433.891060215,1227903.8378393264,-21469.9467791114,2025-08-18T00:00:00Z,ethereum
2814969520.535441,3352350702.590958,-537381182.0555172,761935.1794655417,907389.5527381146,-145454.37327257288,2025-08-01T00:00:00Z,ethereum
1210904135.9634054,1226090302.2588828,-15186166.29547739,325283.64130634285,329363.0818857945,-4079.440579451679,2025-07-26T00:00:00Z,ethereum
1301912740.8883743,1336332564.6159103,-34419823.72753596,373268.7115312137,383137.148063405,-9868.436532191292,2025-08-02T00:00:00Z,ethereum
3042374845.8406696,3357312092.07139,-314937246.2307205,799505.651519628,882268.006914368,-82762.35539474,2025-07-31T00:00:00Z,ethereum
1322847928.9789174,1421735733.399541,-98887804.42062354,298958.81871225376,321307.10270394344,-22348.283991689677,2025-08-17T00:00:00Z,ethereum
6663002506.841338,6550537814.765476,112464692.07586193,1573529.9690492859,1546970.3867499223,26559.582299363567,2025-08-12T00:00:00Z,ethereum
3708996167.2706103,3630018566.0016785,78977601.26893187,905737.7697852533,886451.4202690324,19286.349516220973,2025-08-20T00:00:00Z,ethereum
4846109006.4548435,4762592244.245517,83516762.20932674,1314131.3414237208,1291483.8948625056,22647.446561215213,2025-07-25T00:00:00Z,ethereum
2686889729.294266,2763230974.4518924,-76341245.15762615,757833.1145467245,779365.0452975136,-21531.93075078912,2025-08-04T00:00:00Z,ethereum
2324398940.5570474,1226497255.6145701,1097901684.9424772,521911.1018555752,275392.714620337,246518.38723523822,2025-08-16T00:00:00Z,ethereum
7113182922.3609,6575402512.056491,537780410.304409,1547370.0872014945,1430383.7353150414,116986.3518864531,2025-08-13T00:00:00Z,ethereum
3036048749.0656147,2645213237.287474,390835511.77814054,757113.724601963,659649.2388554381,97464.48574652488,2025-08-09T00:00:00Z,ethereum
2248243917.0599766,2335501691.8730855,-87257774.81310892,527671.320152364,548151.0487440014,-20479.728591637453,2025-08-10T00:00:00Z,ethereum
7956442447.892511,8299000785.509231,-342558337.61671925,1677268.634310526,1749482.108971964,-72213.47466143803,2025-08-14T00:00:00Z,ethereum
3863919099.349126,4194187595.846432,-330268496.49730635,1065141.8149550606,1156184.8147530784,-91042.99979801779,2025-07-24T00:00:00Z,ethereum
