d,etfFlow
2025-07-08,691.101
2025-07-09,1794.164
2025-07-10,9438.708
2025-07-11,8576.024
2025-07-14,2375.051
2025-07-15,3266.478
2025-07-16,6688.274
2025-07-17,4328.81
2025-07-18,3081.592
2025-07-21,-1118.941
2025-07-22,-566.346
2025-07-23,-811.627
2025-07-24,1848.331
2025-07-25,1038.12
2025-07-28,1237.898
2025-07-29,678.706
2025-07-30,400.059
2025-07-31,-1040.153
2025-08-01,-6873.987
2025-08-04,-2808.161
2025-08-05,-1719.373
2025-08-06,796.282
2025-08-07,2215.507
2025-08-08,3345.021
2025-08-11,1380.303
2025-08-13,611.62
2025-08-14,1885.912
2025-08-15,-120.193
2025-08-18,-1046.315
2025-08-19,-4569.207
2025-08-20,-2764.328
2025-08-21,-1774.857
2025-08-22,-198.628
2025-08-25,1922.98
2025-08-26,686.356
2025-08-27,731.67
2025-08-28,1541.592
2025-08-29,-1168.029
2025-09-02,2910.718
2025-09-03,2430.651
2025-09-04,-1965.724
2025-09-05,-1446.104
2025-09-08,3143.277
2025-09-09,206.303
2025-09-10,6353.86
2025-09-11,4787.527
2025-09-12,5481.744
2025-09-15,2198.908
2025-09-16,2502.593
2025-09-17,-633.065
2025-09-18,1299.84
2025-09-19,1925.399
2025-09-22,-3221.036
2025-09-23,-926.352
2025-09-24,2006.625
2025-09-25,-2179.243
2025-09-26,-3699.31
2025-09-29,4118.378
2025-09-30,3771.988
2025-10-01,5624.475
2025-10-02,5117.843
2025-10-03,7887.33
2025-10-06,9410.015
2025-10-07,7201.386
2025-10-08,3562.677
2025-10-09,1626.6
2025-10-10,10.549
2025-10-13,-2830.084
2025-10-14,906.226
2025-10-15,-938.998
2025-10-16,-4701.528
2025-10-17,-3438.196
2025-10-20,-432.031
2025-10-21,4262.175
2025-10-22,-941.787
2025-10-23,153.551
2025-10-24,816.033
