d,unixTs,sopr
2011-09-25,1316908800,0.8581841842347034
2011-09-26,1316995200,0.964897844681463
2011-09-27,1317081600,0.9831090781621038
2011-09-28,1317168000,0.9777960915377947
2011-09-29,1317254400,0.9840038114077652
2011-09-30,1317340800,1.0010103063729132
2011-10-01,1317427200,0.9671967435046631
2011-10-02,1317513600,0.9645598075136643
2011-10-03,1317600000,0.9788744251702415
2011-10-04,1317686400,0.9856118385586828
2011-10-05,1317772800,0.9809516903850917
2011-10-06,1317859200,0.984276555361945
2011-10-07,1317945600,0.9405631186385015
2011-10-08,1318032000,0.9529110011840615
2011-10-09,1318118400,0.9494341988465184
2011-10-10,1318204800,0.9416395544545549
2011-10-11,1318291200,0.931982330355488
2011-10-12,1318377600,0.9380061094220113
2011-10-13,1318464000,0.9742497097376254
2011-10-14,1318550400,0.95736355299809
2011-10-15,1318636800,0.972190216502414
2011-10-16,1318723200,0.9568643442249712
2011-10-17,1318809600,0.8414659884153451
2011-10-18,1318896000,0.8653476868170259
2011-10-19,1318982400,0.7194682267355678
2011-10-20,1319068800,0.9140419092649471
2011-10-21,1319155200,0.9812948019060279
2011-10-22,1319241600,0.9666211028251773
2011-10-23,1319328000,0.9919761700207905
2011-10-24,1319414400,0.9507728195119292
2011-10-25,1319500800,0.9649772663533704
2011-10-26,1319587200,0.8999175270303353
2011-10-27,1319673600,0.9990320974900727
2011-10-28,1319760000,1.012516969210781
2011-10-29,1319846400,0.9955389607194449
2011-10-30,1319932800,0.9924089542241582
2011-10-31,1320019200,0.9814515237236566
2011-11-01,1320105600,0.9822540294310379
2011-11-02,1320192000,0.9438786510038748
2011-11-03,1320278400,0.988988932137142
2011-11-04,1320364800,0.9717669983102779
2011-11-05,1320451200,0.9710112753498139
2011-11-06,1320537600,0.9810097825965552
2011-11-07,1320624000,0.9768373222592649
2011-11-08,1320710400,0.9846611643522395
2011-11-09,1320796800,0.6916062143737309
2011-11-10,1320883200,0.9797654887360903
2011-11-11,1320969600,0.951598412006398
2011-11-12,1321056000,1.0002683939317463
2011-11-13,1321142400,0.986388797888447
2011-11-14,1321228800,0.8964874871521028
2011-11-15,1321315200,0.959256744771395
2011-11-16,1321401600,0.6403119465755794
2011-11-17,1321488000,0.9815991715793597
2011-11-18,1321574400,0.9728110259073082
2011-11-19,1321660800,0.9918878470000391
2011-11-20,1321747200,0.9967139047851818
2011-11-21,1321833600,0.998225748909753
2011-11-22,1321920000,0.9959684592093281
2011-11-23,1322006400,0.9954874485802732
2011-11-24,1322092800,0.9902140524443899
2011-11-25,1322179200,1.031575391206925
2011-11-26,1322265600,0.9576376291731121
2011-11-27,1322352000,0.9991244907547621
2011-11-28,1322438400,0.9632596977218756
2011-11-29,1322524800,1.0133184920308664
2011-11-30,1322611200,1.0064872113247154
2011-12-01,1322697600,1.0018170884848165
2011-12-02,1322784000,1.002332147087386
2011-12-03,1322870400,0.9836966415642873
2011-12-04,1322956800,1.0016176863934152
2011-12-05,1323043200,0.9973816299440756
2011-12-06,1323129600,1.0026261116166877
2011-12-07,1323216000,0.9873202378827571
2011-12-08,1323302400,1.0018727844372584
2011-12-09,1323388800,0.9955255130305759
2011-12-10,1323475200,0.9969292996883353
2011-12-11,1323561600,1.0330824507973995
2011-12-12,1323648000,1.0074701744098178
2011-12-13,1323734400,0.9998434149658774
2011-12-14,1323820800,0.9610047456604967
2011-12-15,1323907200,1.0044351448704698
2011-12-16,1323993600,1.004865009739732
2011-12-17,1324080000,0.9971728869010681
2011-12-18,1324166400,0.9974261806131813
2011-12-19,1324252800,1.039106291406668
2011-12-20,1324339200,1.0765086708731544
2011-12-21,1324425600,1.023762387203992
2011-12-22,1324512000,1.0197242713128194
2011-12-23,1324598400,1.0394208107269076
2011-12-24,1324684800,0.9984328211906955
2011-12-25,1324771200,0.9939689177195906
2011-12-26,1324857600,1.0072693980998657
2011-12-27,1324944000,1.0071747022376676
2011-12-28,1325030400,1.0301816395818437
2011-12-29,1325116800,1.002210192428326
2011-12-30,1325203200,1.020625730850678
2011-12-31,1325289600,1.0495404668433082
2012-01-01,1325376000,1.0570689306541163
2012-01-02,1325462400,0.9628753237248523
2012-01-03,1325548800,1.0255674461901425
2012-01-04,1325635200,1.0660674212420713
2012-01-05,1325721600,1.0965199018434209
2012-01-06,1325808000,1.0706749762917709
2012-01-07,1325894400,1.0515983042485078
2012-01-08,1325980800,1.0733894616409505
2012-01-09,1326067200,1.0626742454673188
2012-01-10,1326153600,0.9975671397281203
2012-01-11,1326240000,1.042894269478488
2012-01-12,1326326400,1.0865205876995423
2012-01-13,1326412800,1.0333770312012671
2012-01-14,1326499200,1.0313773195661482
2012-01-15,1326585600,1.0180283772069088
2012-01-16,1326672000,1.0258545118899158
2012-01-17,1326758400,1.0117092984246823
2012-01-18,1326844800,0.9709897910680724
2012-01-19,1326931200,1.0403402793304337
2012-01-20,1327017600,0.9928512998
2012-01-21,1327104000,1.0064354120530314
2012-01-22,1327190400,1.0010575528954646
2012-01-23,1327276800,1.0043352766287617
2012-01-24,1327363200,1.0114803608827998
2012-01-25,1327449600,0.9914741083219213
2012-01-26,1327536000,0.9567461679431942
2012-01-27,1327622400,0.954300766775988
2012-01-28,1327708800,0.9854201473899866
2012-01-29,1327795200,0.9776818848191793
2012-01-30,1327881600,0.9848992688440998
2012-01-31,1327968000,0.9727840233130196
2012-02-01,1328054400,1.0107549196222014
2012-02-02,1328140800,1.0136787850864026
2012-02-03,1328227200,1.0042252958092723
2012-02-04,1328313600,1.0015221942848649
2012-02-05,1328400000,0.9922833617981887
2012-02-06,1328486400,0.9641944688880798
2012-02-07,1328572800,0.9929826045084674
2012-02-08,1328659200,0.9956916174239598
2012-02-09,1328745600,0.9993454929416499
2012-02-10,1328832000,0.9896018794907957
2012-02-11,1328918400,1.0368846967138907
2012-02-12,1329004800,0.9987008952549897
2012-02-13,1329091200,0.8710621852141908
2012-02-14,1329177600,0.9544291633639145
2012-02-15,1329264000,0.981090154034264
2012-02-16,1329350400,0.9785689987076964
2012-02-17,1329436800,0.98397006976376
2012-02-18,1329523200,0.9551907102050935
2012-02-19,1329609600,0.9707968773527801
2012-02-20,1329696000,0.9818137572649669
2012-02-21,1329782400,0.9719559650960553
2012-02-22,1329868800,0.992260155290065
2012-02-23,1329955200,1.0116521963855165
2012-02-24,1330041600,1.0060098596728153
2012-02-25,1330128000,1.0138963303555102
2012-02-26,1330214400,1.0018501057876177
2012-02-27,1330300800,1.0076163046498021
2012-02-28,1330387200,1.0083090472448195
2012-02-29,1330473600,0.835926765769457
2012-03-01,1330560000,1.003827186155476
2012-03-02,1330646400,0.9712284016895227
2012-03-03,1330732800,0.9924688313406113
2012-03-04,1330819200,1.001208891123516
2012-03-05,1330905600,1.0066714362294467
2012-03-06,1330992000,1.0060515885199666
2012-03-07,1331078400,1.0063990570640502
2012-03-08,1331164800,0.9940236416929803
2012-03-09,1331251200,0.9985992036579089
2012-03-10,1331337600,0.9790408202355448
2012-03-11,1331424000,0.9921754906986728
2012-03-12,1331510400,0.9961508604829981
2012-03-13,1331596800,1.0138095207063405
2012-03-14,1331683200,1.020469573308238
2012-03-15,1331769600,1.0151931281035194
2012-03-16,1331856000,1.0193658014697375
2012-03-17,1331942400,0.9922823353829563
2012-03-18,1332028800,0.9991840215012385
2012-03-19,1332115200,0.9811831959866217
2012-03-20,1332201600,0.9815322204797834
2012-03-21,1332288000,0.9627207308493378
2012-03-22,1332374400,0.9884729529344122
2012-03-23,1332460800,1.0002957519138675
2012-03-24,1332547200,0.9850818890153988
2012-03-25,1332633600,0.9764282357824857
2012-03-26,1332720000,0.9904026824261524
2012-03-27,1332806400,0.9934583626214768
2012-03-28,1332892800,1.0011232905030676
2012-03-29,1332979200,0.9944715904725893
2012-03-30,1333065600,0.8773025971739841
2012-03-31,1333152000,1.0015719486444694
2012-04-01,1333238400,0.9969784172160634
2012-04-02,1333324800,1.0025695542219533
2012-04-03,1333411200,0.9709112495913134
2012-04-04,1333497600,1.0020727674156564
2012-04-05,1333584000,1.0020244185627694
2012-04-06,1333670400,1.0089444996999362
2012-04-07,1333756800,0.9918124165498193
2012-04-08,1333843200,0.9987510529639257
2012-04-09,1333929600,1.0038526315595417
2012-04-10,1334016000,0.998234653607756
2012-04-11,1334102400,1.0016754395060412
2012-04-12,1334188800,1.005337211966801
2012-04-13,1334275200,1.0002489167208715
2012-04-14,1334361600,1.003903245163723
2012-04-15,1334448000,1.004131607386301
2012-04-16,1334534400,1.002813894933689
2012-04-17,1334620800,1.0017532498601895
2012-04-18,1334707200,1.0084960703322006
2012-04-19,1334793600,1.0089487949515132
2012-04-20,1334880000,1.0037085382299342
2012-04-21,1334966400,1.0016482586681488
2012-04-22,1335052800,1.0089819489271465
2012-04-23,1335139200,0.989350352340606
2012-04-24,1335225600,1.000292206678972
2012-04-25,1335312000,1.0387433755096271
2012-04-26,1335398400,0.9938828882907531
2012-04-27,1335484800,1.0000825582353785
2012-04-28,1335571200,0.9959380264280192
2012-04-29,1335657600,0.9806908604443001
2012-04-30,1335744000,0.9928531086032338
2012-05-01,1335830400,0.9995726346860704
2012-05-02,1335916800,1.0013265794229298
2012-05-03,1336003200,1.0013685381961297
2012-05-04,1336089600,1.0013868841110782
2012-05-05,1336176000,1.0002033021810612
2012-05-06,1336262400,0.9671366212897835
2012-05-07,1336348800,0.9998868115306662
2012-05-08,1336435200,0.9992099904245167
